job_id,job_title,category,resume_id,job_description,resume_text,human_missing_skills
16125011,Software Engineer - Product (Technical Leadership),Software Engineering,20879311,we are the teams who create all of facebook s product used by more than 1.5 billion people around the world. want to build new features and improve existing products like commerce ads video groups news feed search and more want to solve unique large scale highly complex technical problems facebook is seeking experienced full-stack software engineers to join our product teams. you can help build products that help us connect the next billion people create new features that have billions of interactions per day and be a part of a team that s working to help people connect around the globe. join us software engineer - product technical leadership responsibilities drive the team s goals and technical direction to pursue opportunities that make your larger organization more efficient effectively communicate complex features and systems in detail understand industry company-wide trends to help assess develop new technologies partner collaborate with organization leaders to help improve the level of performance of the team organization identify new opportunities for the larger organization influence the appropriate people for staffing/prioritizing these new ideas create consumer products and features on a large scale lead long term technical vision and roadmap for large cross-company efforts partner closely with infrastructure and operations teams to build and scale back-end services minimum qualifications bachelor s degree in computer science computer engineering relevant technical field or equivalent practical experience. experience leading projects with industry-wide impact experience communicating and working across functions to drive solutions experience in mentoring/influencing senior engineers across organizations proven track record of planning multi-year roadmap in which shorter-term projects ladder to the long-term vision experience in driving large cross-functional/industry-wide engineering efforts 12+ years of programming experience 12+ years of experience with building large-scale applications or similar experience 8+ years of experience with web or mobile technologies preferred qualifications experience shipping products to millions of customers or have started a new line of product experience building and scaling large products or systems about meta meta builds technologies that help people connect find communities and grow businesses. when facebook launched in 2004 it changed the way people connect. apps like messenger instagram and whatsapp further empowered billions around the world. now meta is moving beyond 2d screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. people who choose to build their careers by building with us at meta help shape a future that will take us beyond what digital connection makes possible today-beyond the constraints of screens the limits of distance and even the rules of physics. meta is proud to be an equal employment opportunity and affirmative action employer. we do not discriminate based upon race religion color national origin sex including pregnancy childbirth or related medical conditions sexual orientation gender gender identity gender expression transgender status sexual stereotypes age status as a protected veteran status as an individual with a disability or other applicable legally protected characteristics. we also consider qualified applicants with criminal histories consistent with applicable federal state and local law. meta participates in the e-verify program in certain locations as required by law. please note that meta may leverage artificial intelligence and machine learning technologies in connection with applications for employment. meta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. if you need any assistance or accommodations due to a disability please let us know at accommodations-ext fb.com. 213 000/year to 293 000/year + bonus + equity + benefits individual compensation is determined by skills qualifications experience and location. compensation details listed in this posting reflect the base hourly rate monthly rate or annual salary only and do not include bonus equity or sales incentives if applicable. in addition to base compensation meta offers benefits. learn more about benefits at meta.,director of information technology and analytics summary accomplished senior manager with over 15 years of experience leading complex projects and managing resources to optimize enterprise technology and support business objectives. committed to quality and service excellence with aptitude for launching new technology platforms. subject matter expert in information security risk management. excellent communicator adept at identifying business needs and bridging the gap between functional groups and technology to foster targeted and innovative solutions. highlights os/platforms microsoft windows server 2008/2012 exchange 2010 iis active directory dns networking cisco lan/wan asa/switching tcp/ip vpn voip sip mpls vnc vlan segregation hardware san/fiber technology enterprise servers switches routers workstations laptops mobile devices ipad/iphone/blackberry telephony systems cisco cucm tools jira veritas netbackup backup exec pcanywhere symantec antivirus ghost sharepoint visio microsoft office suite experience director of information technology and analytics january 2005 to current company_masked location_masked market-leading global credit asset management firm with 4 billion aum and over 120 employees worldwide. directed the firm s word-wide information technology strategy. established and instituted policies procedures and technology to mitigate corporate security risk and position zais for sarbanes-oxley act compliance. identified process improvement opportunities and recommended solutions and budget requirements to management committee. managed team of 6 resources responsible for technology management and support operations encompassing all aspects of it infrastructure including workstations server platforms ip telephony l3 network infrastructure network security disaster recovery storage area networks and videoconferencing. directed project teams through all lifecycle phases handling technical escalation events. evaluated and deployed dlp solution. chairman of the firm s cybersecurity committee responsible for advancing the firm s security posture. selected accomplishments developed and led a technology strategy for the firm that supports strong business alignments increases profitability and provides a sound flexible and reliable foundation for the future. enabled revenue growth by leading the timely deployment of high-performance virtual computing environment to support new models created by internal development teams. created incident response policies and procedures rooted firmly on the nist framework. developed and lead breach rehearsal scenarios both for executive roundtable tests and technical response team practices. designed data governance and classification policies particularly in regards to personally identifiable information pii . evaluated and deployed data loss prevention system symantec and created escalation procedures to comply with the firm s data governance policy. managed all security vendor relationships through the contract negotiation lifecycle and service level agreement reviews. developed associates to their fullest potential by providing challenging opportunities that enhanced associate s career growth. recruited and developed appropriate talent pool to insure adequate bench strength and succession planning. managed logistics procurement and deployment of it infrastructure in dallas baton rouge shanghai dublin london singapore and tokyo locations inclusive of establishing a sustainable model for support. established a viable disaster recovery strategy with a physical to virtual solution and liaison with all business units to generate the firm s business continuity plan. spearheaded the analog to voip conversion of zais ipt and video infrastructures cisco cucm environment . transformed it support and organizational interaction practices fostering strong collaborative work environment. while developing robust help desk systems and processes for improved trouble ticket initiation and visibility. led the firm s cybersecurity enhancement effort by managing the design implementation and maintenance of the advanced threat protection system next generation firewalls and mobile computing security. developed the firms cybersecurity policy and incident response team firmly rooted on the nist framework. responded to audit requests from potential and current investors met with them to discuss finding and guided them through the due diligence process. responded to external auditors and lead remediation efforts if needed. reported all audits to the executive board. fostered a culture of security awareness in the firm by obtaining executive level support for cybersecurity initiatives and enabling acceptance of security measures through user education. information technology manager january 2002 to january 2005 company_masked location_masked manufacturing firm with over 100 year history and 170 employees. directed hardware and software configuration installation troubleshooting and support activities. oversaw administration of network infrastructure business systems cabling and circuits and telecommunications platforms. established and managed relationships with technology vendors and service providers. monitored and tracked call volumes service requests and performance metrics. led work order documentation and change request management. selected accomplishments designed and led windows 2003 migration team. administered cisco multi-vlan layer 3 switched lan wan. designed and administered cisco vpn solution. led the procurement configuration and administration of all infrastructure projects. engineered and deployed microsoft exchange 2003 solution including web access/spam protection/security. planned and implemented enterprise resource planning project. responsible for disaster recovery plan/execution. supervised it staff and coordinated all consultants. systems administrator january 2000 to january 2002 company_masked location_masked consulting firm providing portal technology to enterprise customers. administered and supported 250 client node.js windows nt environment. planned configured and administered the upgrade of windows nt to windows 2000. maintained dns wins and dhcp in multi-site environment. maintained 85 node.js development server environment. engineered and deployed system management server 2.0 infrastructure. designed workstation and server imaging system using symantec ghost. performed daily network monitoring tasks including backups veritas and log checks. data/systems administrator january 1998 to january 2000 company_masked state global provider of information technology products and services 3 billion in revenue oversee and modify the daily download of data from several distributors. uploaded data to appropriate sql databases. maintained and perform hardware/software upgrades on windows ftp servers. education bachelor of science psychology/history 1998 rutgers university location_masked psychology/history skills active directory antivirus asset management backup exec budget business systems cabling cisco competitive hardware consulting contract negotiation conversion credit client databases dhcp disaster recovery documentation dns due diligence enterprise resource planning firewalls ftp ghost help desk iis imaging information technology ip it support lan laptops team leadership logistics loss prevention managing market mentoring access exchange microsoft exchange 2003 microsoft office suite sharepoint microsoft windows windows windows 2000 windows nt word migration enterprise network security network networking networks next os organizational pcanywhere policies problem resolution processes process improvement procurement project management proposal development requirements analysis routers san sarbanes-oxley servers service level agreement sound sql strategy strategic planning switches symantec tcp/ip telecommunications telephony troubleshooting upgrades upgrade veritas veritas netbackup video vpn visio voip wan,"software development, software architecture, backend development, web/mobile development, scalable systems"
16893286,Senior Data Engineer,Data and Analytics,31111279,are you driven by a passion for advancing technology within the insurance industry and dedicated to combating financial crime if so we are looking for someone just like you to join us in z rich in a position which requires a mix of remote and on-site work in a hybrid model. we are currently looking for an experienced data engineer to strengthen our insurance client in z rich. in this role you will be responsible for designing implementing and maintaining data-driven applications engineering robust data pipelines and contributing to all stages of the software development lifecycle. #li-dni responsibilities design implement and maintain new and existing data-driven applications develop and see through solutions end to end engineer reliable data pipelines for sourcing processing distributing and storing data design data models that can support ever growing volumes contribute to all stages of the software development lifecycle provide technical expertise recommendations and innovative solutions work collaboratively alongside the product owner and other technologists share expertise and best practice with colleagues and contribute regularly to our engineering culture requirements ability to work in a team and collaborate with other engineers and a product owner strong core python software engineering experience good understanding and significant experience with projects using relational data models and sql strong knowledge of cloud-native technologies databricks azure devops delta lake tables spark structured streaming lakehouse in microsoft azure environment experience with apache spark and delta lake tables good analytical skills and the ability to understand complexity and break it down into smaller achievable steps fluent english skills are a must german language skills are significant advantage we offer 5 weeks of vacation epam employee stock purchase plan espp enhanced parental leave extended pension plan daily sickness allowance insurance employee assistance program global business travel medical and accident insurance learning and development opportunities including in-house training and coaching professional certifications over 22 000 courses on linkedin learning solutions and much more all benefits and perks are subject to certain eligibility requirements please note that any offers will be subject to appropriate background checks we do not accept cvs from recruiting or staffing agencies for this position we are able to consider applications from the following - swiss nationals - eu/efta nationals - third-country nationals based in switzerland with an appropriate work permit - displaced people from ukraine who are currently in switzerland and hold or have already applied for s permits,manager information technology project management office professional summary highly motivated and driven manager of the project management office pmo . currently seeking potential opportunities to continue to help other organizations realize and reap benefits of formal pmo methodology. passionate about pmo engagement in health care as i have watched over 17 years of what was once lacking in this industry take hold and prove its value and worth. i have had the pleasure and benefit of watching three organizations grow and blossom their teams with training and growth and development of a methodology that fits the culture of each organization. education and certification b.a foreign languages and literatures 1997 vpi su virginia tech location_masked foreign languages and literatures degree in spanish concentration in management science -decision support systems note now known as business information technology certification project management certification 2004 guilford technical comm college location_masked project management advanced certificate pmp certification project management professional 2012 project management institute location_masked certification complete and renewed in 2015 skill highlights highly professional and polished pmo manager portfolio manager for all corporate it system implementations portfolio manager for it infrastructure project management new and renovation construction related efforts excellent communication skills from all upper echelons of leadership to team building currently managing large team of senior and intermediate project managers and pmo trained business analysts passion for pmo shines through my work and i strive to help others achieve that pride in their profession excellent skills with conflict resolution in tense stakeholder meetings high standards for personal excellence and integrity in a job well-done equally high standards for a high performing project management team skilled in clinical portfolio management assisted in division of pmo to determine best fit for pm team corporate / clinical background advocate for project management training and skill building soft skills and pm skills are equally crucial to a high performing team. professional experience manager information technology project management office 06/2008 to current company_masked location_masked primary role manage portfolio of all pmo projects related to corporate services and manage portfolio of all infrastructure related projects. corporate services project portfolio includes such systems as lawson peoplesoft api centralized warehouse infor/ lawson tools and other non-clinical related applications infrastructure project portfolio includes all services related to wired or wireless networking intra-facility connectivity onboarding and acquisition of other health care organizations managing two teams of project managers each with specialty field skills to work application or technical/ infrastructure projects. monthly governance report out on each portfolio to executive committee to ensure priority and alignment to strategic goals are still accurate with influx of projects in the pipeline help pmo trainer with professional development skill building quarterly to determine soft skills that are needed for either pmo team. encourage training and leadership skills within all team members to continue growth and improvement professionally for each team member s own unique goals encourage and require pmp for all senior level role project managers monthly resource manager meeting to report out to information technology management where there are resource gaps or conflicts with other projects within the clinical portfolio. work closely with epic project management office to share out resources wherever possible particularly related to technical dress rehearsal and preparation of facilities prior to go live. project manager /application systems analyst iii 06/2004 to 06/2008 company_masked location_masked primary role project manager for multiple new information technology systems per year ranging from 500k to 4m budgets lead team with cio support to encourage all application analyst roles to attend and participate in project management methodology training - beginnings of pmo for health care at high point regional responsible for all upgrades and ongoing software updates to multiple api software tools. hr/payroll security scheduling and timekeeping systems lead a team of 60 members crossing over all clinical and corporate areas to implement enterprise staff scheduling solution project manager for radiology information system and complete dictation replacement project project manager for hr recruiting system halogen and worked with hris team and vendor team to negotiate all aspects of implementation. upgraded enterprise-wide timekeeping system including all time clocks api and going from client/server to web-based application. included coordination of all aspects of implementation with vendor and training of all end users. systems analyst ii/ product manager - vantive peoplesoft tool 05/2001 to 06/2004 company_masked location_masked support peoplesoft s vantive application in nationwide call center environments. brought up 3 new call centers on vantive system and maintained support of existing three call centers. performed 2 full system upgrades and managed all budget and aspects of project surrounding upgrade. support and maintained software making changes when requested in vb/vba code to resolve differences in upgrade. maintained .net web version of vantive application for external clients to submit their own cases. worked closely with call center managers and supervisors as well as director of nationwide call center to ensure functionality and needs of call center were met. systems analyst ii/ project manager 04/2000 to 05/2001 company_masked location_masked project management for patient accounting and clinical upgrades support of existing modules and maintenance on mumps database in unix idx hospital software package. oversee all related projects for finance and patient accounting departments supporting applications and issues with upgrades for financial departments. help to implement new software on unify database structure medstat software for contract management in the finance dept. assisting with system-wide upgrade of the corporate idx software and all required testing and documentation methodology required. project manager intermediate /software analyst ii 12/1998 to 04/2000 company_masked location_masked primary financial analyst on mckesson hboc star financials backup for mckesson hboc clinical system. helped team to perform upgrade to new gui based platform of star financials began studies in project management in the healthcare environment attended seminars on beginning methodology and pmo development. implemented what is now known to be infancy stages of today s emr - document based scanning for medical records and financial records. managed all project aspects around installation of imnet electronic medical record software on an ms sql 7.0 based database. systems analyst/ programmer 05/1998 to 12/1998 company_masked location_masked programmed in sql for hboc clinical and financial systems developed various hospital reports for financial departments. project manager on imnet electronic medical records software. learned mssql to support system and help implement for medical records and charting needs electronic sign-off by physician. skills manage departmental budget for all aspects salaries training etc. manage and assist with creation of portfolio governance for information technology systems budget manage and assist with creation of infrastructure budget required for all projects requiring infrastructure/ construction upgrades work hand in hand with chief technology officer vp application support to provide c-suite leadership with all relevant information needed to approve annual portfolio for information technology,"python, azure, spark, databricks, data pipelines"
17788660,Lead Oracle Fusion Consultant - Remote,Computer and IT,89413122,we re looking for a skilled oracle fusion functions consultant to join our dynamic team. the ideal candidate will have extensive experience with oracle fusion applications with a focus on functional consulting. the consultant will implement configure and support oracle ebs/fusion applications to meet business requirements. req.#680360544 #li-dni responsibilities lead the implementation configuration and support of oracle ebs/fusion applications conduct business requirements gathering and document user needs perform fit-gap analysis and recommend process improvements manage functional configuration of oracle fusion financial modules including gl ap ar sla cm fa oversee procurement and supplier management modules within oracle fusion coordinate data migration and integration efforts guide teams through the support life cycle and ensure adherence to slas analyze and debug code to diagnose issues and implement fixes work with agile methodologies throughout the project lifecycle communicate effectively with cross-functional teams stakeholders and end-users to ensure project success requirements 5+ years of experience working with oracle fusion applications proficiency in oracle fusion financial modules - gl ap ar sla cm fa knowledge of procurement and supplier management competency in oracle integration cloud oic expertise in implementing configuring and supporting oracle applications background in financial and reporting domains p2p r2r familiarity with oracle database and sql technologies understanding of agile methodologies strong problem-solving skills and capability to analyze complex business processes experience in data migration and integration projects excellent communication and interpersonal skills nice to have oracle certifications e.g. oracle certified professional knowledge of hyperion/epm/pbcs we offer medical dental and vision insurance subsidized health savings account flexible spending accounts healthcare dependent care commuter short-term and long-term disability company provided life and ad d insurance company provided employee assistance program unlimited access to linkedin learning solutions matched 401 k retirement savings plan paid time off - the employee will be eligible to accrue 15-25 paid days depending on specific level and tenure with epam accrual eligibility may change over time paid holidays - nine 9 total per year legal plan and identity theft protection accident insurance employee discounts pet insurance employee stock purchase program if otherwise eligible participation in the discretionary annual bonus program if otherwise eligible and hired into a qualifying level participation in the discretionary long-term incentive lti program for remote work in new york city only. epam is a leading global provider of digital platform engineering and development services. we are committed to having a positive impact on our customers our employees and our communities. we embrace a dynamic and inclusive culture. here you will collaborate with multi-national teams contribute to a myriad of innovative projects that deliver the most creative and cutting-edge solutions and have an opportunity to continuously learn and grow. no matter where you are located you will join a dedicated creative and diverse community that will help you discover your fullest potential. youtube video player this posting includes a good faith range of the salary epam would reasonably expect to pay the selected candidate. the range provided reflects base salary only. individual compensation offers within the range are based on a variety of factors including but not limited to geographic location experience credentials education training the demand for the role and overall business and labor market considerations. most candidates are hired at a salary within the range disclosed. salary range 95 000 - 170 000. in addition the details highlighted in this job posting above are a general description of all other expected benefits and compensation for the position. applications will be accepted on a rolling basis. it is unlawful in massachusetts to require or administer a lie detector test as a condition of employment or continued employment. an employer who violates this law shall be subject to criminal penalties and civil liability.,operations research analyst summary personable project manager successful at building strong professional relationships. manages large and complex projects while maintaining high team morale and energy. more than eight years of progressive management experience and repeated success in developing project initiatives directing project plans and achieving performance targets. highlights organized unsurpassed work ethic results-oriented detail-oriented process improvement management information systems work flow planning software/hardware support experience accomplishments initiation and design of equipment testing program leading to memorandum of understanding between the department of homeland security national urban security technology laboratory and the new york police department. recipient of numerous awards for both team and individual performance. completed government training and certification program for test and evaluation manager level ii. developed working relationships with many state and local responder agencies. experience operations research analyst 01/2010 to current company_masked location_masked initiated and managed program to test incoming radiation detection equipment into new york new jersey and connecticut. since 2009 the project has tested over 25 million dollars worth of equipment and more than 10 000 units. activities included process and procedure development instrumenting and maintaining test facilities and managing and scheduling testing team. coordination of activities with the new york police department nypd counter terrorism bureau other state and local first responder organizations in the new york city metropolitan area and the brookhaven national laboratory. information technology specialist 03/2003 to 01/2010 company_masked location_masked data collection and test manager for the department of homeland security and nypd collaborative acquisition program for a roadway deployed radiation detector prototype. planned and executed initial data collection effort in support of the acquisition project. effort involved coordination with nypd regional toll authorities and national laboratories. developed the data collection plan budget and schedule. managed test team staff and provided oversight of acquired prototype and final prototype testing program including test planning coordination scheduling and budgeting. provided technical support to program team on development of the request for information and proposal reviews. training and deployed as a technical expert in analysis of radiation spectra. provided expert radiological assistance to the first responder community with very short turn around time. the radiation equipment supported by this program provides spectral signatures of radioactive materials. addressed incident calls and evaluated these spectral signatures for potential national security threats. appointed data collection lead for advanced spectroscopic portal test campaign at the new york container terminal. a responsibility that required coordination with federal managers local officials and law enforcement. major responsibilities included training and oversight of the screening team. s t countermeasures test beds collaborative website manager and information technology field coordinator. performed technology installation integration and data analysis of radiation detection data in an operational setting. coordinated with technology users from dhs headquarters national laboratories state and local representatives to provide services and reports via the main collaborative website. information technology specialist 08/1999 to 03/2003 company_masked location_masked designed data structures and developed systems for science related database applications. assistant to the protecting human subject program manager. this assignment included coordination of the department s human subjects working group including organization/planning of meetings and on site reviews as well as reviewing and editing applications and published materials. education bs management information systems may 2005 new york university location_masked gpa magna cum laude gpa 3.922 inducted into alpha sigma lambda honor society dean s list fall 2001 spring 2002 coursework included statistical methods economics database design system analysis and design business organization and management management information systems object oriented analysis interactive design and it networking skills project management information design relationship building information technology procedure development scheduling website design ms office suite training development quality processes event planning work breakdown structures,"oracle fusion, oracle ebs, oracle integration cloud, oracle database, sql"
19007538,"Data Science Manager,  Instagram Reels Monetization",Data and Analytics,29075857,reels continues to grow globally and is now the best way on ig to discover new content and people. we have the ambitious goal of making reels one of the most efficiently monetized surfaces on the platform. getting reels and reels monetization right is one of the highest priorities at ig as it is critical to meta s continued success and future growth.beyond the high viz impact potential reels monetization is also a rich analytical playground solving big product problems here requires in-depth understanding and insights at the intersection of the ig organic and meta s ads ecosystems. this is a dream role for the curious and the ambitious. data science manager instagram reels monetization responsibilities drive analytics projects end-to-end in partnership with teams from engineering product management and across the analytics community to inform influence support and execute product strategy and investment decisions. inspire lead and grow a team of data scientists and manager s to fulfill our longer term vision. actively influences the design of the strategy and shaping of the roadmap within this scope. generate and use team insights to set and prioritize longer term goals. grow analytics skills around you upskilling your team engineers and others to increase overall team impact. minimum qualifications bs degree in a quantitative discipline e.g. statistics operations research econometrics computer science engineering or bs/ms in a quantitative discipline with equivalent working experience a minimum of 7 years of work experience 3+ years with a ph.d. in applied quantitative field including 2+ years of experience managing analytics teams 5+ years of experience in a team leadership role including 2+ years of experience with people management through layers experience communicating both in low-level technical details as well as high-level strategies experience in cross-functional partnership among teams of engineering design product management data engineering experience with driving product roadmap and execution preferred qualifications master s or ph.d. degree in mathematics statistics computer science engineering economics or another quantitative field. proven track record of leading analytics teams that deliver on multiple projects or programs across regions or business groups. 7+ years of experience doing quantitative analysis statistical modeling or machine learning in the experimentation space a minimum of 4 years of experience working on consumer facing products or ads products about meta meta builds technologies that help people connect find communities and grow businesses. when facebook launched in 2004 it changed the way people connect. apps like messenger instagram and whatsapp further empowered billions around the world. now meta is moving beyond 2d screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. people who choose to build their careers by building with us at meta help shape a future that will take us beyond what digital connection makes possible today-beyond the constraints of screens the limits of distance and even the rules of physics. meta is proud to be an equal employment opportunity and affirmative action employer. we do not discriminate based upon race religion color national origin sex including pregnancy childbirth or related medical conditions sexual orientation gender gender identity gender expression transgender status sexual stereotypes age status as a protected veteran status as an individual with a disability or other applicable legally protected characteristics. we also consider qualified applicants with criminal histories consistent with applicable federal state and local law. meta participates in the e-verify program in certain locations as required by law. please note that meta may leverage artificial intelligence and machine learning technologies in connection with applications for employment. meta is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. if you need any assistance or accommodations due to a disability please let us know at accommodations-ext fb.com. 206 000/year to 281 000/year + bonus + equity + benefits individual compensation is determined by skills qualifications experience and location. compensation details listed in this posting reflect the base hourly rate monthly rate or annual salary only and do not include bonus equity or sales incentives if applicable. in addition to base compensation meta offers benefits. learn more about benefits at meta.,adjunct instructor skill highlights quality engineering process improvement acceptance testing strategic planning organizational development requirement assessment coaching mentoring business intelligence sdlc people management team building data analysis oracle sql/ms access progress rdb power point data warehousing hp quality center ms test rational software qa and pm templates ms word/excel ms project visio clarity software professional experience adjunct instructor january 1999 to november 2014 company_masked location_masked planning and strategy 01/2014 - 11/2014 oversaw and facilitated development qa and production of monthly metric dashboard packages across ait that illustrates the organization s collective value and overall contribution for senior level reporting and review. successfully led installation of the 1st service request tool for the planning and strategy team automating work order processing. project managed communication quality risk and implementation management following sdlc qa and project management life cycles. ait leadership development rotation program 2012 to 2013 leadership development program rotation across annuities organizational and functional departments focused on hands-on and real scenario exposure to various executive leadership approaches and styles. delivered quality and cost effective projects utilizing leadership agility enhanced ability to read organizations and honed skills in strategy execution. project managed design qa training and implementation of resource capacity management tool for annuities marketing service group 20 resources. created socialized and implemented project charters project and communication plans and qa artifacts to business analyst developers and stakeholders. designed and developed the process to collect and track 29m in it-sourcing business case multi year savings. piloted and socialized data collection process and procedures to obtain five organizational units executives sign off without issues. the tool and process enabled timely accurate and effective decision senior leadership decisions for strategic planning. designed and project managed the development qa strategies and implementation of portfolio management database application leading four offshore and two onshore resources in planning execution monitoring and project implementation following established sdlc qa and project management lifecycles best practices. this tool captures and reports progress and status of all annuities services active projects. led acquisition of two commercial off the shelf software for ait 50 below whole sale by successful negotiation and package order reconfiguration. vendor management lead for the enterprise procurement of hp s requirement management tool rmt and apptio financial saas application by developing and implementing request for proposals rfps master service agreements msa and statement of work sow in collaboration with prudential legal and business and senior stakeholders. developed and successfully implemented project charter and project plans for software customization and implementation of apptio by using approved pm tools including peer reviews and socialization to project stakeholders. project charter was used to drive technical requirements for collaborative work effort between apptio and prudential annuities. developed traceability matrices and risk based test strategies for reliable analysis with optimized test coverage and prioritized execution. led qa project deliveries and adherence to all annuities quality assurance standards and procedure. led test efforts on project initiatives working closely with project stakeholders to ensure high quality deliverables to annuities technology business partners. collaborated and negotiated development of qa testing infrastructure for information management and business intelligence imbi qa cluster through research development and incorporation of business intelligence testing methodology and established qa guidelines for data warehouse data marts and etl extract transform and load projects in line with industry practices. socialized new imbi qa methodology to business clients and ait s analysis and development teams. this process became the foundation of testing procedure for ait qa department. developed and governed qa project milestones qa test strategies scope test plans resource allocations and project planning for ait s information management and business intelligence by design process participation peer and quality control reviews. oversaw development of qa strategies test plans and test cases to migrate prudential s annuity system to newly established data warehouse mart with cognos as reporting front-end. managed qa validation execution tracking and governance of annuities information factory data warehouse the foundation of ait s business intelligence infrastructure in qa organization by leading two onshore and six offshore from india and ireland in design creation and execution of test strategies and test plans in alignment with sdlc and project life cycle. bridged qa sme single point-of-failure gap by developing succession plans and approach though knowledge transfers documentations and trainings. monitored and reported relevant qa metrics for test performance to senior management for though use of charts and graphs for trend and analysis. managed prioritization of production defect resolution validation and on-time production deployments. defined developed and standardized production defect resolution infrastructure and processes for the newly formed qa production support team. coordinated qa test region management including data refresh and test region trouble shooting though project planning and scheduling working knowledge of test environments capabilities and user needs. this process improvement resulted to a single point of contact and multiple call reduction. engineered and streamlined qa region refresh procedures resulting into a repeatable process implemented in ait qa department. this process reduced test region set-up to 5 days from its usual 9 days set up. employed automation batch processing collaboration and negotiations with it partners to drive success. directed the validation 15 small projects 50k or less within 12 months leveraging onshore and offshore staffs following full qa testing lifecycle. qa project led american skandia and all state data acquisitions and conversions by creating and implementing qa test strategies and plans to 12 onshore and 10 offshore consultants communicating project status through qa metrics. established and matured annuities information technology s automation infrastructure and processes. developed regression test bed to reduce manual testing effort of repeatable process. collaborated in the establishment of the qa automation infrastructure through proof of concepts benefits and impact analysis with pramerica offshore team. established the 1st automation infrastructure using rational software and base line regression test bed for prudential s annuities technology line of business. reduced database table seeding qa validation by 75 in qa uat and production environment by developing and implementing excel macro comparison tools to validate data accuracy. built a cyclic redundancy check automated script that save 4 person hours on each execution by launching 100 application screens that executed initiation modules. software developer january 1996 to january 1998 company_masked location_masked software developer/qa project lead prodigy january 1988 to january 1996 company_masked location_masked education ms computer science 1992 university of new haven location_masked us ms in computer science university of new haven - new haven ct 1992 bs computer science 1985 fairleigh dickinson university location_masked us bs in computer science fairleigh dickinson university - teaneck nj 1985 links http //www.linkedin.com/in/josephmueller201 certifications ait skills qa offshore annuities testing team lead database qa validation sdlc metrics project planning qa test qa testing benefits excel production environment rational uat leadership development project management best practices business case capacity management collection data collection marketing portfolio management procurement progress project plans proposals saas software as a service sow statement of work strategic planning technical requirements training vendor management business intelligence cases clients coda cognos data warehouse etl extract transform and load front end front end design front-end governance ibm cognos life cycle qa methodology quality assurance quality assurance standards quality control sme subject matter expert test lead test plans batch processing its process improvement scheduling instructor order processing acceptance testing access coaching data analysis data warehousing ibm rational software marketing analysis mentoring microsoft project ms access ms project ms word oracle org development organizational development rational software rdb software qa sql team building user acceptance visio word,"machine learning, statistical modeling, experimentation, data science"
