course_num,course_name,description
CMPT 102,"Introduction to Scientific Computer Programming
		
			(3)","A programming course which will provide the science student with a working knowledge of a scientific programming language and an introduction to computing concepts, structured programming, and modular design. The student will also gain knowledge in the use of programming environments including the use of numerical algorithm packages. Corequisite:MATH 152or155(or158).  Students with credit forCMPT 120,128,130or166may not take this course for further credit. Students who have takenCMPT 125,129or135first may not then take this course for further credit."
CMPT 105W,"Social Issues and Communication Strategies in Computing Science
		
			(3)","This course teaches the fundamentals of informative and persuasive communication for professional engineers and computer scientists. A principal goal of this course is to assist students in thinking critically about various contemporary technical, social, and ethical issues. It focuses on communicating technical information clearly and concisely, managing issues of persuasion when communicating with diverse audiences, presentation skills, and teamwork. Students with credit for ENSC 102,ENSC 105W,MSE 101WorSEE 101Wmay not takeCMPT 105Wfor further credit. Writing."
CMPT 106,"Applied Science, Technology and Society
		
			(3)","Reviews the different modes of thought characteristic of science, engineering and computing. Examines the histories and chief current research issues in these fields. Considers the ethical and social responsibilities of engineering and computing work. Students with credit forENSC 100, ENSC 106 orMSE 102cannot take this course for further credit."
CMPT 110,"Programming in Visual Basic
		
			(3)","Topics will include user interfaces, objects, event-driven programming, program design, and file and data management. Prerequisite: BC Mathematics 12 (or equivalent) or any 100-level MATH course with a minimum grade of C-. Students who have obtained credit for, or are currently enrolled in a computing science course at the 200-level or higher, or ITEC 240, 241 or 242 may not takeCMPT 110for further credit except with permission of the School of Computing Science."
CMPT 115,"Exploring Computer Science
		
			(3)","You will be exploring fundamental ideas in Computer Science, and the far-reaching impact of computational thinking on modern society. Programming is not the focus, but you will do a bit of programming to actively experience the computational point of view on the world, creating applications in AI and robotics using friendly visual programming languages. No prior computing experience required. Students who have takenCMPT 120,125, 127,130,135or 170, orIAT 265or267first may not then take this course for further credit."
CMPT 118,"Special Topics in Computer and Information Technology
		
			(3)","Special topics in computing science which are of current interest to non-computing students. The course will be offered from time to time depending on availability of faculty and on student interest. Students who have obtained credit for, or are currently enrolled in a computing science course at the 200-level or higher, may not takeCMPT 118for further credit."
CMPT 120,"Introduction to Computing Science and Programming I
		
			(3)","An elementary introduction to computing science and computer programming, suitable for students with little or no programming background. Students will learn fundamental concepts and terminology of computing science, acquire elementary skills for programming in a high-level language, e.g. Python. The students will be exposed to diverse fields within, and applications of computing science. Topics will include: pseudocode; data types and control structures; fundamental algorithms; recursion; reading and writing files; measuring performance of algorithms; debugging tools; basic terminal navigation using shell commands. Treatment is informal and programming is presented as a problem-solving tool.  Prerequisite: BC Math 12 or equivalent is recommended.  Students with credit forCMPT 102,128,130or166may not take this course for further credit. Students who have takenCMPT 125,129,130or135first may not then take this course for further credit. Quantitative/Breadth-Science."
CMPT 125,"Introduction to Computing Science and Programming II
		
			(3)","A rigorous introduction to computing science and computer programming, suitable for students who already have some background in computing science and programming.  Intended for students who will major in computing science or a related program. Topics include: memory management; fundamental algorithms; formally analyzing the running time of algorithms; abstract data types and elementary data structures; object-oriented programming and software design; specification and program correctness; reading and writing files; debugging tools; shell commands. Prerequisite:CMPT 120orCMPT 130, with a minimum grade of C-. Students with credit for CMPT 126,129,135or CMPT 200 or higher may not take this course for further credit. Quantitative."
CMPT 128,"Introduction to Computing Science and Programming for Engineers
		
			(3)","An introduction to computing science and computer programming, suitable for students wishing to major in Engineering Science or a related program. This course introduces basic computing science concepts, and fundamentals of object oriented programming. Topics include: fundamental algorithms and problem solving; abstract data types and elementary data structures; basic object-oriented programming and software design; elements of empirical and theoretical algorithmics; computation and computability; specification and program correctness; and history of computing science. The course will use a programming language commonly used in Engineering Science. Prerequisite: BC Math 12 (or equivalent, or any ofMATH 100,150,151,154, or157, with a minimum grade of C-). Students with credit forCMPT 102,120,130or166may not take this course for further credit. Students who have takenCMPT 125,129,135, or CMPT 200 or higher first may not then take this course for further credit."
CMPT 129,"Introduction to Computing Science and Programming for Mathematics and Statistics
		
			(3)","A second course in computing science and programming intended for students studying mathematics, statistics or actuarial science and suitable for students who already have some background in computing science and programming. Topics include: a review of the basic elements of programming: use and implementation of elementary data structures and algorithms; fundamental algorithms and problem solving; basic object-oriented programming and software design; computation and computability and specification and program correctness. Prerequisite:CMPT 102orCMPT 120, with a minimum grade of C-. Students with credit forCMPT 125or135may not take this course for further credit."
CMPT 130,"Introduction to Computer Programming I
		
			(3)","An introduction to computing science and computer programming, using a systems oriented language, such as C or C++. This course introduces basic computing science concepts. Topics will include: elementary data types, control structures, functions, arrays and strings, fundamental algorithms, computer organization and memory management. Prerequisite: BC Math 12 (or equivalent, or any ofMATH 100,150,151,154, or157, with a minimum grade of C-). Students with credit forCMPT 102,120,128or166may not take this course for further credit. Students who have takenCMPT 125,129or135first may not then take this course for further credit. Quantitative/Breadth-Science."
CMPT 135,"Introduction to Computer Programming II
		
			(3)","A second course in systems-oriented programming and computing science that builds upon the foundation set inCMPT 130using a systems-oriented language such as C or C++. Topics: a review of the basic elements of programming; introduction to object-oriented programming (OOP); techniques for designing and testing programs; use and implementation of elementary data structures and
algorithms; introduction to embedded systems programming. Prerequisite:CMPT 130with a minimum grade of C-. Students with credit forCMPT 125, 126, or129may not take this course for further credit. Quantitative."
CMPT 165,"Introduction to the Internet and the World Wide Web
		
			(3)","We shall examine the structure of the Internet and the World Wide Web as well as design and create web sites. Students who have obtained credit for, or are currently enrolled in a CMPT course at the 200-division or higher,CMPT 125,135or 170, orIAT 265or267may not takeCMPT 165for further credit."
CMPT 166,"An Animated Introduction to Programming
		
			(3)","An informal introduction to programming using examples drawn from animation and graphics. Fundamental programming language features are covered, including variables, expressions, statements, loops, functions, and objects. Class design, event-driven programming or other advanced programming techniques may be introduced as needed. No prior programming experience is assumed. Prerequisite: Recommended: BC Math 12 or equivalent. Students with credit forCMPT 102,120,128or130may not take this course for further credit. Students who have takenCMPT 125,129or135first may not then take this course for further credit."
CMPT 201,"Systems Programming
		
			(4)","An introduction to a UNIX-like application-OS interface from a programmer's perspective. Introduces operating systems and their interfaces for user-level programs. Students learn how to programmatically interact with an OS efficiently, correctly, and securely. Topics include: command-line tools, programming with memory, processes, threads, IPC, as well as basics of OS security. Prerequisite: (CMPT 125orCMPT 135) andMACM 101, both with a minimum grade of C-. Students who have takenCMPT 300first may not then take this course for further credit."
CMPT 210,"Probability and Computing
		
			(3)","Probability has become an essential tool in modern computer science with applications in randomized algorithms, computer vision and graphics, systems, data analysis, and machine learning. The course introduces the foundational concepts in probability as required by many modern applications in computing. Prerequisite:MACM 101,MATH 152,CMPT 125orCMPT 135, and (MATH 240orMATH 232), all with a minimum grade of C-."
CMPT 213,"Object Oriented Design in Java
		
			(3)","An introduction to object oriented design using Java. The Java programming language is introduced,
with an emphasis on its advanced features. The course covers the building blocks of object oriented
design including inheritance, polymorphism, interfaces and abstract classes. A number of object oriented design patterns are presented, such as observer, iterator, and singleton. The course also teaches best-practices in code construction. It includes a basic introduction to programming event driven graphical user interfaces. Prerequisite:CMPT 225with a minimum grade of C-. Students with credit for CMPT 212 cannot take this course for further credit."
